smiles,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.03,2.0787,2.1001,3.0602,5.1385,,4.39,2.0574
[*]CC(S1)=CC=C1C(S2)=CC=C2O[*],-5.95,1.7705,2.9968,3.4793,5.2494,,4.19,1.9533
[*]CC(S1)=CC=C1CC(=S)[*],-5.65,2.588,2.5553,3.2956,5.8858,,3.57,1.8463
[*]CC(S1)=CC=C1CC(S2)=CC=C2[*],-5.81,1.174,4.1954,4.626,5.797,,3.65,1.8382
[*]CC(S1)=CC=C1CO[*],-5.68,1.4146,,4.6049,6.0202,,4.0,1.8606
[*]CC(S1)=CC=C1NC(=S)[*],-5.77,2.0497,2.8469,3.7288,5.7769,,4.42,1.9817
[*]CC(S1)=CC=C1NC(S2)=CC=C2[*],-5.9,1.1194,3.6624,4.1254,5.2507,,3.83,1.8772
[*]CC(S1)=CC=C1NO[*],-5.66,1.3873,3.8409,3.7984,5.1816,,4.04,1.8806
[*]CC(S1)=CC=C1OC(=S)[*],-5.78,2.3956,3.0541,3.7579,6.155,,4.25,1.9478
[*]CC(S1)=CC=C1OC(S2)=CC=C2[*],-5.92,1.2199,4.26,4.6308,5.8606,,3.63,1.8388
[*]CC([*])(C)C#N,,,7.1863,7.6319,,8.0,,
[*]CC([*])(F)F,-5.21,1.1415,,7.1498,8.1531,41.3664625,3.37,1.6122
[*]CC([*])C,-5.14,0.4343,7.6997,6.5196,6.185,44.47,2.61,1.6081
[*]CC([*])C(=O)OC(C)C,,,6.455,6.4162,,53.86,,
[*]CC([*])CC,,,7.9012,6.517,,34.04,,
[*]CC([*])CCC,,,7.2705,6.7336,,20.01,,
[*]CC([*])F,-5.18,0.874,8.3099,7.6225,7.6332,,3.36,1.6305
[*]CC([*])O,,,7.5488,6.3648,,39.089205,,
[*]CCC(=O)C(=S)[*],-5.61,3.1911,1.8131,3.2378,6.4199,,4.76,1.9627
[*]CCC(=O)C(C=C1)=CC=C1[*],-6.05,2.3583,3.6964,4.5077,6.8635,,3.81,1.8245
[*]CCC(=O)C(S1)=CC=C1[*],-5.9,2.6933,3.1093,3.959,6.6564,,4.12,1.8757
[*]CCC(=O)N[*],-5.69,1.1904,6.2028,5.6558,6.8452,,3.61,1.7036
[*]CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.14,1.5387,,,6.1951,,3.47,1.7345
[*]CCC(=O)O[*],-5.73,0.7562,6.684,7.0337,7.7853,45.00978462,3.39,1.6631
[*]CCC(=S)O[*],-5.34,2.069,3.8308,4.1442,6.2041,,3.71,1.8214
[*]CCC(C=C1)=CC=C1C(=S)[*],-5.87,3.1161,2.7697,2.742,5.8549,,3.9,1.9173
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],-5.98,1.6982,2.9495,3.7098,5.4079,,3.75,1.9106
[*]CCC(C=C1)=CC=C1O[*],-5.89,0.7536,4.052,4.9179,5.6727,,3.46,1.7865
[*]CCC(F)(F)C([*])(F)F,-5.21,0.4489,9.1316,8.6882,9.0178,43.69,3.08,1.5774
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,-5.18,0.4911,8.3878,7.6175,8.3643,,3.05,1.5724
[*]CCC(S1)=CC=C1C(=S)[*],-5.69,3.3272,2.295,2.6244,5.9475,,4.38,2.0043
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],-5.86,1.9411,2.7315,3.23,5.1709,,3.82,1.9248
[*]CCC(S1)=CC=C1O[*],-5.67,0.6627,4.1608,4.8828,5.5608,,3.63,1.7996
[*]CCC1CC([*])C2CCCC12,,,7.4997,6.7838,,23.26,,
[*]CCC1CCC([*])C1,,,7.9915,7.1099,,23.52,,
[*]CCCC(=O)[*],-5.52,1.2346,5.13,5.3982,6.6298,,3.27,1.6556
[*]CCCC(=S)[*],-5.22,2.3997,2.9464,3.3942,5.7881,,3.29,1.7702
[*]CCCC(C=C1)=CC=C1[*],-5.78,0.9937,4.7657,4.9932,5.9933,,3.14,1.7489
[*]CCCC(S1)=CC=C1[*],-5.57,0.9489,4.2755,4.7481,5.6976,,3.2,1.7538
[*]CCCCCC(=O)O[*],-5.44,0.5062,7.0558,6.6614,7.458,44.91891622,3.12,1.6432
[*]CCCCCCC(=O)N[*],-5.39,0.6934,5.9361,6.0436,6.5849,25.57,3.34,1.6565
[*]CCCCCCCCCCCC(=O)O[*],,,6.8377,6.7916,,59.84,,
[*]CCCCCCCCCCOC(=O)CCCCC(=O)O[*],,,6.718,6.5494,,88.04,,
[*]CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N([*])C4=O)cc2C1=O,-6.25,,,,,,3.79,1.8137
[*]CCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],,,6.3994,5.7224,,43.53,,
[*]CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],,,6.2733,5.7457,,19.52,,
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,-5.79,0.9199,4.5288,5.0895,5.1674,,3.72,1.7297
[*]CCCCCOC(=O)O[*],-5.46,,7.123,7.3186,7.4318,15.11,3.09,1.6374
[*]CCCCCOCO[*],-5.2,0.5413,6.8354,6.5668,6.9158,,3.06,1.6043
[*]CCCCCS[*],-5.03,0.5118,4.989,,5.7733,,,
[*]CCCCOC(=O)c1ccc(C(=O)O[*])cc1,-5.97,2.4936,4.0149,,7.6583,34.54432121,3.59,1.7603
[*]CCCN[*],-5.18,0.5296,6.381,5.2088,5.8246,,3.03,1.6776
[*]CCCOC(=O)CCCCCCC(=O)O[*],,,6.4907,6.9244,,92.48,,
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],-5.41,0.7602,6.5329,,7.4162,,3.05,1.6306
[*]CCCO[*],-5.2,0.5672,7.4889,6.2459,6.904,55.46,3.03,1.6476
[*]CCNC(=S)[*],-5.36,1.6837,3.6727,3.7044,5.3628,,4.24,1.8641
[*]CCNC(C=C1)=CC=C1[*],-5.85,0.6326,3.689,4.1674,4.8208,,3.54,1.7816
[*]CCNC(S1)=CC=C1[*],-5.63,0.6915,3.793,3.9675,4.6632,,3.76,1.8184
[*]CCOC(=O)CCCCC(=O)O[*],-5.59,1.0754,6.7769,6.7259,7.8277,69.34,3.25,1.6581
[*]CCOC(=O)CCCCCCC(=O)O[*],-5.5,0.8924,6.8383,6.9025,7.7636,57.21,3.16,1.6577
[*]CCOC(=O)NCCOCCOCCNC(=O)O[*],-5.52,0.573,6.4585,6.1403,7.1012,,3.53,1.6526
[*]CCOC(=O)c1ccc(C(=O)O[*])cc1,-6.18,2.2723,3.8637,4.6867,7.1539,31.7557344,3.82,1.8075
[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],-5.81,2.6209,2.4106,2.7606,5.413,,5.17,2.0467
[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],-5.83,0.755,4.5558,5.0931,5.1123,,3.82,1.7289
[*]CCOCCOC(=O)O[*],-5.52,0.4954,6.6617,6.7562,7.5966,,3.32,1.6326
[*]CCON[*],-5.12,0.6058,5.7904,5.6784,4.8207,,3.46,1.7034
[*]CCO[*],-5.21,0.3936,6.2206,5.5372,7.0344,70.6655082,3.15,1.6377
[*]CCc1ccc(-c2ccc([*])cc2)cc1,-6.09,1.482,3.7492,4.2048,5.6867,,3.58,1.872
[*]CNC(=O)C(=S)[*],-5.8,4.0732,2.3654,2.9496,7.0203,,5.23,1.9972
[*]CNC(=O)C(S1)=CC=C1[*],-6.02,1.968,3.849,4.353,6.3237,,4.11,1.8558
[*]CNC(=O)NCOCO[*],-5.58,0.7808,6.6011,6.2147,7.215,,4.22,1.6883
[*]CNC(=O)ONC(=O)NO[*],-5.82,1.4002,5.9707,6.8117,7.4526,,4.65,1.7609
[*]CNC(=S)C(=O)[*],-5.79,3.7481,2.1003,2.602,6.3386,,5.35,2.0233
[*]CNC(=S)C(C=C1)=CC=C1[*],-5.96,2.3012,3.1832,3.4579,5.75,,3.99,1.8914
[*]CNC(=S)C(S1)=CC=C1[*],-5.79,2.3974,2.7289,3.5084,5.8964,,4.55,1.9675
[*]CNC(=S)N[*],-5.48,1.4813,3.9125,4.2179,5.6855,,5.58,1.8071
[*]CNC(=S)O[*],-5.49,1.5976,4.2201,4.6235,6.2178,,4.57,1.8672
[*]CNC(C=C1)=CC=C1C(=O)[*],-6.14,,3.1969,3.6383,,,4.8,1.9491
[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],-6.05,1.292,3.1255,3.7272,5.0179,,4.42,1.9541
[*]CNC(C=C1)=CC=C1N[*],-5.93,0.54,3.4981,4.0626,4.6919,,4.2,1.8632
[*]CNC(C=C1)=CC=C1O[*],-5.98,0.7695,3.7495,4.3424,5.1109,,4.14,1.8414
[*]CNC(S1)=CC=C1C(=O)[*],-6.0,2.2797,2.5818,3.1504,5.431,,5.29,2.0195
[*]CNC(S1)=CC=C1C(=S)[*],-5.78,2.9244,1.6806,2.4271,5.3497,,6.19,2.251
[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],-6.04,1.6671,3.3441,3.738,5.4046,,4.18,1.9424
[*]CNC(S1)=CC=C1N[*],-5.7,0.5629,3.5157,4.2825,4.8739,,4.18,1.8551
[*]CNC(S1)=CC=C1O[*],-5.74,0.8203,3.6125,4.4862,5.3042,,4.2,1.8497
[*]CNCC(=O)[*],-5.59,1.6269,3.6121,4.7515,6.367,,3.5,1.7201
[*]CNCC(=S)[*],-5.26,2.6857,2.6614,3.4106,6.0922,,3.85,1.8901
[*]CNCC(C=C1)=CC=C1[*],-5.84,1.2974,4.4323,4.958,6.259,,3.37,1.7745
[*]CNCC(S1)=CC=C1[*],-5.61,1.1612,4.1265,4.6476,5.8087,,3.53,1.7813
[*]CNCCCOCO[*],-5.21,0.6155,6.3311,5.4895,6.3776,,3.54,1.6616
[*]CNCNC(=O)NC(=O)N[*],-5.84,0.7092,5.4,6.2347,6.2252,,3.92,1.6781
[*]CNCN[*],-5.22,0.8689,6.2293,5.1634,6.0806,,3.29,1.7262
[*]CNCO[*],-5.27,0.7624,6.9282,5.5885,6.4057,,3.53,1.6697
[*]CNOC(=S)[*],-5.28,2.5,3.5947,4.3013,6.7958,,3.89,1.8633
[*]CNOC(C=C1)=CC=C1[*],-5.9,0.891,4.1647,4.831,5.7444,,3.65,1.8294
[*]CNOC(S1)=CC=C1[*],-5.66,1.0659,4.0591,4.5017,5.578,,3.82,1.8539
[*]CNON[*],-5.01,0.9652,4.8889,5.3302,6.3414,,3.62,1.7453
[*]COC(=O)NCCNC[*],-5.49,0.5903,6.3647,5.81,6.3844,,3.67,1.6706
[*]COC(=O)O[*],-5.97,0.7529,7.1042,8.0093,8.8314,,3.73,1.657
[*]COC(=S)O[*],-5.47,2.0771,3.6556,4.8041,6.8707,,4.34,1.8467
[*]COC(C=C1)=CC=C1O[*],-6.03,0.9466,4.685,4.8731,5.8209,,3.8,1.7891
[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],-6.07,1.6377,3.0939,3.6898,5.3253,,4.15,1.9391
[*]COC(S1)=CC=C1O[*],-5.78,0.8857,4.3601,4.8466,5.7358,,3.85,1.795
[*]COCOCCCO[*],-5.22,0.6927,7.1737,6.5721,7.1508,,3.51,1.6589
[*]CONC(=O)[*],-5.69,1.2523,5.5012,6.1048,7.3554,,4.13,1.7438
[*]CONO[*],-5.08,0.421,5.9349,6.4799,7.0389,,4.25,1.7417
[*]CO[*],-5.32,0.9897,8.7732,6.6048,7.5826,97.74314666,3.72,1.6434
[*]Cc1ccc(C(=O)N[*])cc1,-6.17,1.8315,4.2448,5.0419,6.8713,,3.96,1.8171
[*]Cc1ccc(C(=O)O[*])cc1,-6.22,2.2574,3.7934,4.9209,7.179,,4.03,1.8426
[*]Cc1ccc(CO[*])cc1,-5.89,1.6106,4.8019,4.9575,6.5689,,3.47,1.7774
[*]NC(=O)C(=S)C(=O)[*],-6.35,5.1781,1.4363,1.0075,6.114,,6.53,2.263
[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],-6.26,3.6154,1.5619,2.9128,6.5245,,5.85,2.1735
[*]NC(=O)C(=S)C(S1)=CC=C1[*],-6.16,3.9034,0.9512,1.8546,6.6147,,8.51,2.5744
[*]NC(=O)C(=S)O[*],-5.88,4.3681,2.095,3.3593,7.7235,,6.14,2.1173
[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],-6.28,3.4516,2.4238,2.8785,6.3279,,5.0,1.971
[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],-6.4,2.3815,2.6675,3.3965,5.7787,,4.85,2.0808
[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],-6.31,2.1302,1.9266,4.012,6.1434,,5.23,2.1305
[*]NC(=O)C(C=C1)=CC=C1O[*],-6.24,2.0709,3.6086,4.6617,6.7472,,4.32,1.9128
[*]NC(=O)C(S1)=CC=C1C(=O)[*],-6.4,3.408,2.6812,3.683,7.093,,5.39,2.034
[*]NC(=O)C(S1)=CC=C1C(=S)[*],-6.14,3.7504,1.932,2.3774,6.1268,,6.12,2.2308
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],-6.33,2.6235,1.9448,2.9223,5.5458,,5.9,2.2535
[*]NC(=O)C(S1)=CC=C1O[*],-6.08,2.2174,3.0418,4.3505,6.5697,,4.85,1.969
[*]NC(=O)NC(=O)[*],-6.46,2.041,3.9867,3.9005,5.9087,,5.39,1.8738
[*]NC(=O)NC(=S)[*],-6.02,3.7029,2.0371,3.4559,7.159,,7.36,2.102
[*]NC(=O)NC(C=C1)=CC=C1[*],-6.31,,3.4515,4.3867,,,4.69,1.9598
[*]NC(=O)NC(S1)=CC=C1[*],-6.15,1.6045,3.137,3.228,4.8361,,4.94,2.0074
[*]NC(=O)NO[*],-5.7,1.9635,5.0658,5.5354,7.4857,,5.14,1.8753
[*]NC(=O)OC(=O)[*],-6.61,2.561,4.9145,5.6538,8.2121,,5.35,1.7525
[*]NC(=O)OC(=S)[*],-6.1,3.7701,2.5812,3.8869,7.661,,5.76,1.9479
[*]NC(=O)OC(C=C1)=CC=C1[*],-6.35,1.3447,3.4546,4.5955,5.9392,,4.54,1.8802
[*]NC(=O)OC(S1)=CC=C1[*],-6.2,1.551,3.4227,3.8172,5.369,,4.64,1.9321
[*]NC(=S)C(=C1)SC(=C1)C(=S)[*],-5.92,,1.6122,2.1587,,,6.57,2.3514
[*]NC(=S)C(=O)O[*],-5.89,4.0646,1.8481,2.4947,6.5527,,6.34,2.1342
[*]NC(=S)C(C=C1)=CC=C1O[*],-6.02,2.5935,2.6021,3.2939,5.884,,4.57,1.9858
[*]NC(=S)C(S1)=CC=C1O[*],-5.82,2.8874,2.3899,3.2187,6.1012,,5.61,2.1391
[*]NC(=S)NC(=S)[*],-5.69,4.2115,2.0315,2.8537,7.0636,,6.08,2.2528
[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],-6.09,1.379,3.7898,3.7839,5.378,,4.19,1.8992
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2CC(C=C3)=CC=C3[*],-6.09,,3.6012,3.7248,,,4.55,1.9843
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],-6.15,2.2298,2.9952,3.4978,5.9845,,5.43,2.0467
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC[*],-5.61,1.6869,,,5.4552,,4.17,1.8822
[*]NC(=S)NC(C=C1)=CC=C1[*],-6.09,2.0356,2.6405,3.4701,5.5113,,5.66,2.0938
[*]NC(=S)NO[*],-5.23,2.2894,3.3916,3.4611,5.7438,,6.07,2.0671
[*]NC(=S)OC(=S)[*],-5.64,4.0637,2.4316,2.5906,6.6502,,6.0,2.157
[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],-6.27,4.0513,1.7009,2.378,6.3689,,5.95,2.2161
[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.29,2.4618,2.3459,2.9895,5.4547,,6.11,2.186
[*]NC(C=C1)=CC=C1C(=O)O[*],-6.22,2.5642,3.977,4.3353,6.8988,,4.61,1.8988
[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.23,3.0683,1.8785,2.322,5.3904,,6.72,2.3239
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.25,2.5787,2.3255,2.813,5.3872,,4.84,2.1003
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.31,1.5312,2.9094,3.4269,4.7817,,4.29,2.0006
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.26,1.8885,1.8733,2.8401,4.5131,,5.94,2.339
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],-6.15,1.1363,3.4971,4.0005,5.1363,,4.35,1.9585
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],-6.21,,3.4585,4.0962,,,4.41,1.9841
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.18,3.1722,1.4764,2.4476,5.6224,,6.84,2.4805
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.26,1.9491,1.8163,2.7767,4.4871,,5.91,2.3449
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.18,1.6696,2.587,3.3427,4.896,,4.74,2.0981
[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],-6.11,1.0698,2.8374,3.8931,4.9639,,5.07,1.9889
[*]NC(C=C1)=CC=C1NO[*],-5.91,,3.6275,3.151,,,4.2,1.8848
[*]NC(C=C1)=CC=C1OC(=S)[*],-6.14,2.1606,3.2479,3.7435,5.9088,,4.5,1.9514
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],-6.26,1.1501,3.2074,3.6519,4.8032,,4.38,1.9297
[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],-6.14,1.1598,3.4138,4.2211,5.3817,,4.14,1.9073
[*]NC(S1)=CC=C1C(=O)C(=S)[*],-6.15,4.1937,1.4251,2.1167,6.311,,7.64,2.5145
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.18,3.0129,1.7108,2.2308,5.2456,,8.01,2.5062
[*]NC(S1)=CC=C1C(=O)O[*],-6.14,2.6486,,3.3859,6.0364,,6.18,2.0928
[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.15,2.9139,1.7781,2.3153,5.2303,,6.46,2.2999
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.0,3.5786,1.9993,1.6616,5.2424,,6.36,2.292
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.15,2.3374,2.3796,3.3567,5.6909,,5.47,2.2022
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.18,2.0751,1.6397,2.5627,4.3893,,6.83,2.4847
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],-6.22,2.9191,1.9451,2.263,5.182,,7.09,2.393
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.05,3.3026,1.9074,2.0192,5.3242,,8.62,2.7581
[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],-6.09,2.2798,1.5003,2.2573,4.3058,,7.17,2.5509
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],-5.92,1.6017,2.8559,3.3296,4.9311,,4.54,1.9938
[*]NC(S1)=CC=C1NC(=S)[*],-5.89,2.2133,2.1538,2.9073,5.1241,,5.78,2.19
[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],-5.96,1.4393,3.4208,2.5847,4.0261,,4.34,1.9478
[*]NC(S1)=CC=C1OC(=S)[*],-5.92,2.3032,2.6588,3.3542,5.6596,,5.02,2.0409
[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],-5.99,1.1067,3.9124,4.3883,5.4925,,4.14,1.9001
[*]NOC(=O)O[*],-5.77,1.6985,5.0089,6.2663,7.9654,,4.3,1.7479
[*]NOC(=S)O[*],-5.2,2.7178,3.7133,4.8496,7.5682,,5.13,1.942
[*]NOC(C=C1)=CC=C1O[*],-5.98,,4.5587,,,,4.11,1.8691
[*]Nc1ccc([*])cc1,-6.21,0.9827,2.3603,4.0074,4.9916,,5.52,2.124
[*]Nc1cccc(C([*])=O)c1,-6.41,2.356,3.2399,4.1556,6.1179,,4.43,1.9618
[*]OC(=O)c1ccc(C([*])=O)cc1,-6.57,3.2451,3.1295,4.5736,7.8184,,5.0,1.869
[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],-6.35,3.5136,2.9014,3.9191,7.1656,,4.55,1.8941
[*]OC(CCCCCCC=C)CC([*])=O,,,5.5852,5.8983,,13.86,,
[*]OC1C(CO)OC([*])C(O)C1O,-5.48,0.8344,7.4757,5.8509,6.8689,,3.78,1.6879
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,-6.44,2.4015,3.0847,3.8635,6.2671,,4.1,1.9035
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,-6.4,2.4594,3.1383,3.9194,6.383,,4.32,1.9173
[*]Oc1ccc(CC([*])=O)cc1,-6.21,1.5033,4.6878,4.8618,6.3961,,3.52,1.7375
[*]Oc1ccc(Cc2ccc([*])cc2)cc1,-6.18,1.1795,4.3787,4.9481,6.1428,,3.5,1.8035
[*]Oc1ccc(OC([*])=O)cc1,-6.41,1.4499,4.3251,5.1376,6.5915,,3.95,1.7876
[*]Sc1ccc([*])cc1,,2.0372,3.1848,3.6211,6.1739,,4.15,1.9808
[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)cc1,-6.82,3.0398,,2.6504,5.6689,,5.68,2.3284
[*]c1ccc([*])cc1,-6.39,2.6013,,,5.0935,,4.48,2.0982
[*]c1ccc([*])s1,-6.18,2.9681,,1.6203,4.5257,,,
[*]c1cccc([*])n1,-6.6,2.2143,2.9424,3.8339,6.0452,,4.35,1.9952
